STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_de,Demographic indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2016,,71732,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2018,,74794,,e,estimated,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2019,,76177,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2020,,77543,,e,estimated,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2022,,79535,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2023,,81588,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2024,,85101,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AL,Albania,2014,,2892394,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AL,Albania,2015,,2885796,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AL,Albania,2016,,2875592,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AL,Albania,2017,,2876591,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AL,Albania,2018,,2870324,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AL,Albania,2019,,2862427,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AL,Albania,2020,,2845955,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AL,Albania,2021,,2829741,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AL,Albania,2022,,2793592,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AL,Albania,2023,,2761785,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AL,Albania,2024,,2390942,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AL,Albania,2025,,2363314,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AM,Armenia,2014,,3017079,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AM,Armenia,2015,,3010598,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AM,Armenia,2016,,2998577,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AM,Armenia,2017,,2986151,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AM,Armenia,2018,,2972732,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AM,Armenia,2019,,2965269,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AM,Armenia,2020,,2959694,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AM,Armenia,2021,,2963251,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AM,Armenia,2023,,2977130,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AM,Armenia,2024,,2991201,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AM,Armenia,2025,,3076252,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2014,,8507786,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2015,,8584926,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2016,,8700471,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2017,,8772865,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2018,,8822267,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2019,,8858775,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2020,,8901064,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2021,,8932664,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2022,,8978929,,,,,
