month,origin_country,destination_country,flights
02,China,Germany,1
02,France,France,1
02,France,Denmark,1
02,Italy,Italy,1
02,Sweden,Sweden,5
02,Tunisia,France,1
02,United Kingdom,United Kingdom,1
02,United States,France,1
02,United States,Russia,1
02,United States,United Arab Emirates,1
02,United States,United Kingdom,1
02,United States,Spain,1
03,Afghanistan,Turkey,53
03,Afghanistan,Azerbaijan,35
03,Afghanistan,Romania,9
03,Afghanistan,Georgia,8
03,Afghanistan,Germany,5
03,Afghanistan,Netherlands,3
03,Afghanistan,Greece,1
03,Albania,Italy,468
03,Albania,Turkey,86
03,Albania,Germany,63
03,Albania,Greece,59
03,Albania,Austria,52
03,Albania,Serbia,37
03,Albania,Slovenia,32
03,Albania,United Kingdom,21
03,Albania,Belgium,10
03,Albania,France,4
03,Albania,Bulgaria,2
03,Albania,Switzerland,2
03,Albania,Slovakia,1
03,Albania,Spain,1
03,Albania,Poland,1
03,Albania,Romania,1
03,Albania,Bosnia and Herzegovina,1
03,Albania,Moldova,1
03,Albania,Croatia,1
03,Albania,Ireland,1
03,Algeria,France,1629
03,Algeria,Spain,331
03,Algeria,Turkey,248
03,Algeria,Saudi Arabia,203
03,Algeria,Italy,117
03,Algeria,Morocco,69
03,Algeria,Germany,54
03,Algeria,United Kingdom,49
03,Algeria,Egypt,46
03,Algeria,United Arab Emirates,44
03,Algeria,Belgium,40
03,Algeria,Qatar,31
03,Algeria,Jordan,29
03,Algeria,Portugal,23
03,Algeria,Switzerland,22
03,Algeria,Canada,18
03,Algeria,Austria,13
03,Algeria,China,13
03,Algeria,Hungary,9
03,Algeria,Lebanon,9
03,Algeria,Netherlands,8
03,Algeria,Western Sahara,4
03,Algeria,Syria,4
03,Algeria,Russia,4
03,Algeria,Denmark,2
03,Algeria,Belarus,1
03,Algeria,Moldova,1
03,Algeria,Norway,1
03,Algeria,Malta,1
03,Algeria,Czech Republic,1
03,Algeria,Ukraine,1
03,Angola,Portugal,93
03,Angola,Germany,14
03,Angola,Netherlands,13
03,Angola,United Kingdom,11
03,Angola,Morocco,10
03,Angola,France,9
03,Angola,United States,1
03,Angola,Italy,1
03,Angola,Switzerland,1
03,Angola,Russia,1
03,Anguilla,Luxembourg,1
03,Antigua and Barbuda,United Kingdom,47
03,Antigua and Barbuda,Italy,4
03,Antigua and Barbuda,Belgium,1
03,Antigua and Barbuda,Switzerland,1
03,Argentina,Spain,143
03,Argentina,Italy,43
03,Argentina,United Kingdom,32
03,Argentina,Germany,30
03,Argentina,France,30
03,Argentina,Netherlands,22
03,Armenia,Russia,481
03,Armenia,Iran,101
03,Armenia,United Arab Emirates,40
03,Armenia,Ukraine,36
03,Armenia,Qatar,24
03,Armenia,Austria,18
03,Armenia,Turkey,17
03,Armenia,Poland,17
03,Armenia,Georgia,17
03,Armenia,Kazakhstan,11
03,Armenia,France,11
03,Armenia,Iraq,6
03,Armenia,Greece,5
03,Armenia,Lebanon,4
03,Armenia,United Kingdom,2
03,Armenia,Switzerland,2
03,Armenia,Belgium,2
03,Armenia,Serbia,2
03,Armenia,Belarus,1
03,Armenia,Romania,1
03,Aruba,Netherlands,22
03,Aruba,Sweden,2
03,Austria,Germany,3342
03,Austria,Austria,1147
03,Austria,United Kingdom,896
03,Austria,Switzerland,678
03,Austria,Netherlands,554
03,Austria,Italy,541
03,Austria,France,480
03,Austria,Spain,352
03,Austria,Belgium,274
03,Austria,Russia,272
03,Austria,Romania,258
03,Austria,Turkey,257
03,Austria,Poland,200
03,Austria,Denmark,196
03,Austria,Ukraine,192
03,Austria,Sweden,180
03,Austria,Serbia,180
03,Austria,Bulgaria,179
03,Austria,Czech Republic,172
03,Austria,Croatia,153
03,Austria,Israel,115
03,Austria,Hungary,114
03,Austria,Luxembourg,102
03,Austria,Norway,99
03,Austria,United States,94
03,Austria,Finland,86
03,Austria,Greece,81
03,Austria,Slovenia,79
03,Austria,Egypt,73
03,Austria,Iran,71
03,Austria,United Arab Emirates,70
03,Austria,Portugal,69
03,Austria,Slovakia,60
03,Austria,Ireland,53
03,Austria,Latvia,52
03,Austria,Albania,52
03,Austria,Thailand,49
03,Austria,China,49
03,Austria,Belarus,48
03,Austria,Cyprus,48
03,Austria,Macedonia,47
03,Austria,Bosnia and Herzegovina,46
03,Austria,Moldova,41
03,Austria,Montenegro,38
03,Austria,Jordan,32
03,Austria,Qatar,32
03,Austria,Iraq,31
03,Austria,Lithuania,30
03,Austria,Estonia,29
03,Austria,Malta,26
03,Austria,Morocco,21
03,Austria,Hong Kong,19
03,Austria,Armenia,18
03,Austria,Ethiopia,17
03,Austria,Canada,15
03,Austria,India,14
03,Austria,Taiwan,13
03,Austria,Tunisia,10
03,Austria,Algeria,9
03,Austria,Mauritius,9
03,Austria,Cuba,9
03,Austria,Georgia,8
03,Austria,Dominican Republic,5
03,Austria,Maldives,5
03,Austria,Sri Lanka,4
03,Austria,South Korea,4
03,Austria,Guernsey,3
03,Austria,Iceland,3
03,Austria,Kazakhstan,2
03,Austria,Cape Verde,1
03,Austria,Gibraltar,1
03,Austria,Afghanistan,1
03,Austria,Brazil,1
03,Azerbaijan,Azerbaijan,504
03,Azerbaijan,Russia,378
03,Azerbaijan,Turkey,274
03,Azerbaijan,United Arab Emirates,179
03,Azerbaijan,Iran,125
03,Azerbaijan,Kazakhstan,108
03,Azerbaijan,China,94
03,Azerbaijan,Georgia,79
03,Azerbaijan,Ukraine,66
03,Azerbaijan,Qatar,51
03,Azerbaijan,Germany,46
03,Azerbaijan,Iraq,42
03,Azerbaijan,Italy,32
03,Azerbaijan,Netherlands,31
03,Azerbaijan,Luxembourg,29
03,Azerbaijan,United Kingdom,27
03,Azerbaijan,Hong Kong,25
03,Azerbaijan,Afghanistan,24
03,Azerbaijan,Turkmenistan,21
03,Azerbaijan,France,20
03,Azerbaijan,United States,19
03,Azerbaijan,Belarus,18
03,Azerbaijan,Israel,18
03,Azerbaijan,Austria,15
03,Azerbaijan,Singapore,11
03,Azerbaijan,Hungary,11
03,Azerbaijan,Uzbekistan,9
03,Azerbaijan,South Korea,9
03,Azerbaijan,Japan,5
03,Azerbaijan,Czech Republic,5
03,Azerbaijan,Malaysia,4
03,Azerbaijan,Spain,4
03,Azerbaijan,Thailand,3
03,Azerbaijan,Saudi Arabia,2
03,Azerbaijan,Switzerland,2
03,Azerbaijan,Sudan,1
03,Azerbaijan,India,1
03,Azerbaijan,Algeria,1
03,Azerbaijan,Vietnam,1
03,Azerbaijan,Greece,1
03,Azerbaijan,Indonesia,1
03,Azerbaijan,Sweden,1
03,Azerbaijan,Malta,1
03,Azerbaijan,Serbia,1
03,Bahamas,United Kingdom,18
03,Bahrain,Turkey,102
03,Bahrain,United Kingdom,96
03,Bahrain,Lebanon,55
03,Bahrain,Germany,49
03,Bahrain,France,31
03,Bahrain,Greece,22
03,Bahrain,Cyprus,22
03,Bahrain,Russia,18
03,Bahrain,Italy,14
03,Bahrain,Belgium,5
03,Bahrain,Switzerland,1
03,Bahrain,Belarus,1
03,Bahrain,Ireland,1
03,Barbados,United Kingdom,152
03,Barbados,Germany,28
03,Barbados,Netherlands,1
03,Barbados,France,1
03,Belarus,Ukraine,381
03,Belarus,Germany,88
03,Belarus,Lithuania,82
03,Belarus,Austria,51
03,Belarus,Poland,49
03,Belarus,Russia,43
03,Belarus,Georgia,40
03,Belarus,Turkey,39
03,Belarus,Italy,35
03,Belarus,Czech Republic,32
03,Belarus,Latvia,31
03,Belarus,Hungary,27
03,Belarus,France,25
03,Belarus,Netherlands,24
03,Belarus,Azerbaijan,19
03,Belarus,Egypt,17
03,Belarus,Sweden,16
03,Belarus,Switzerland,15
03,Belarus,United Kingdom,15
03,Belarus,United Arab Emirates,13
03,Belarus,Israel,12
03,Belarus,Finland,11
03,Belarus,Spain,9
03,Belarus,Iran,7
03,Belarus,Iraq,5
03,Belarus,Cyprus,5
03,Belarus,Turkmenistan,4
03,Belarus,Lebanon,2
03,Belarus,Bulgaria,2
03,Belarus,Macedonia,1
03,Belarus,Croatia,1
03,Belarus,Serbia,1
03,Belarus,Iceland,1
03,Belarus,Slovenia,1
03,Belarus,Denmark,1
03,Belarus,Sudan,1
03,Belgium,Spain,1629
03,Belgium,Germany,1357
03,Belgium,Italy,1239
03,Belgium,France,1172
03,Belgium,United Kingdom,1127
03,Belgium,Switzerland,470
03,Belgium,Denmark,390
03,Belgium,Sweden,360
03,Belgium,Portugal,353
03,Belgium,Morocco,334
03,Belgium,Poland,332
03,Belgium,Austria,259
03,Belgium,Turkey,240
03,Belgium,United States,237
03,Belgium,Romania,214
03,Belgium,Czech Republic,212
03,Belgium,Hungary,188
03,Belgium,Netherlands,184
03,Belgium,Ireland,177
03,Belgium,Norway,157
03,Belgium,Finland,147
03,Belgium,United Arab Emirates,145
03,Belgium,Greece,137
03,Belgium,Israel,130
03,Belgium,Qatar,103
03,Belgium,Russia,90
03,Belgium,Belgium,86
03,Belgium,Malta,81
03,Belgium,Croatia,77
03,Belgium,Bulgaria,70
03,Belgium,Latvia,68
03,Belgium,Slovenia,66
03,Belgium,Egypt,61
03,Belgium,China,58
03,Belgium,Canada,46
03,Belgium,Estonia,41
03,Belgium,Algeria,37
03,Belgium,Tunisia,37
03,Belgium,Lithuania,36
03,Belgium,Ukraine,35
03,Belgium,Nigeria,34
03,Belgium,Serbia,33
03,Belgium,Iceland,33
03,Belgium,Japan,31
03,Belgium,Cyprus,31
03,Belgium,Senegal,31
03,Belgium,Cameroon,30
03,Belgium,Ghana,22
03,Belgium,Dominican Republic,21
03,Belgium,Uganda,20
03,Belgium,Hong Kong,19
03,Belgium,Slovakia,17
03,Belgium,Lebanon,17
03,Belgium,Cape Verde,17
03,Belgium,Thailand,17
03,Belgium,Albania,14
03,Belgium,Sierra Leone,14
03,Belgium,Cote d'Ivoire,14
03,Belgium,Singapore,13
03,Belgium,Burkina Faso,13
03,Belgium,Angola,13
03,Belgium,Congo (Kinshasa),11
03,Belgium,South Korea,10
03,Belgium,India,10
03,Belgium,South Africa,9
03,Belgium,Montenegro,9
03,Belgium,Macedonia,9
03,Belgium,Gambia,9
03,Belgium,Cuba,9
03,Belgium,Mexico,9
03,Belgium,Moldova,8
03,Belgium,Saudi Arabia,8
03,Belgium,Ethiopia,8
03,Belgium,Luxembourg,6
03,Belgium,Jordan,5
03,Belgium,Liberia,5
03,Belgium,Burundi,4
03,Belgium,Guernsey,4
03,Belgium,Kuwait,3
03,Belgium,Niger,3
03,Belgium,Turkmenistan,3
03,Belgium,Armenia,2
03,Belgium,Gabon,2
03,Belgium,Libya,2
03,Belgium,Kenya,2
03,Belgium,Jamaica,2
03,Belgium,Benin,1
03,Belgium,British Virgin Islands,1
03,Belgium,Equatorial Guinea,1
03,Belgium,Guadeloupe,1
03,Belgium,Iran,1
03,Belgium,Belarus,1
03,Belgium,Jersey,1
03,Belgium,Afghanistan,1
03,Belgium,Togo,1
03,Belgium,Guinea,1
03,Belgium,Central African Republic,1
03,Belgium,Congo (Brazzaville),1
03,Belgium,Vietnam,1
03,Belgium,Bosnia and Herzegovina,1
03,Belgium,Mauritania,1
03,Benin,France,18
03,Benin,Morocco,13
03,Benin,Russia,1
03,Bermuda,United Kingdom,25
03,Bermuda,Spain,2
03,Bermuda,Cape Verde,1
03,Bermuda,Senegal,1
03,Bermuda,Switzerland,1
03,Bermuda,Portugal,1
03,Bolivia,Spain,31
03,Bosnia and Herzegovina,Germany,90
03,Bosnia and Herzegovina,Turkey,85
03,Bosnia and Herzegovina,Croatia,59
03,Bosnia and Herzegovina,Serbia,47
03,Bosnia and Herzegovina,Slovenia,46
03,Bosnia and Herzegovina,Austria,45
03,Bosnia and Herzegovina,United Arab Emirates,35
03,Bosnia and Herzegovina,Italy,32
03,Bosnia and Herzegovina,Sweden,30
03,Bosnia and Herzegovina,France,13
03,Bosnia and Herzegovina,Netherlands,8
