origin_country,destination_country,flights
Afghanistan,Turkey,272
Afghanistan,Azerbaijan,167
Afghanistan,Romania,34
Afghanistan,Georgia,32
Afghanistan,Germany,11
Afghanistan,Netherlands,10
Afghanistan,Belgium,2
Afghanistan,Latvia,2
Afghanistan,Greece,1
Afghanistan,Bulgaria,1
Afghanistan,Sweden,1
Afghanistan,France,1
Afghanistan,Russia,1
Afghanistan,Luxembourg,1
Afghanistan,Ukraine,1
Afghanistan,Slovakia,1
Albania,Italy,2221
Albania,Turkey,415
Albania,Germany,251
Albania,Greece,245
Albania,Austria,222
Albania,Slovenia,164
Albania,Serbia,150
Albania,United Kingdom,119
Albania,Poland,72
Albania,Belgium,54
Albania,France,40
Albania,Hungary,35
Albania,Netherlands,27
Albania,Ukraine,17
Albania,Czech Republic,13
Albania,Macedonia,7
Albania,Belarus,6
Albania,Slovakia,5
Albania,Bulgaria,5
Albania,Spain,4
Albania,Switzerland,4
Albania,Croatia,3
Albania,Bosnia and Herzegovina,2
Albania,Moldova,2
Albania,Georgia,2
Albania,Romania,1
Albania,Ireland,1
Albania,Egypt,1
Albania,Iceland,1
Albania,Montenegro,1
Albania,Denmark,1
Albania,Portugal,1
Albania,Kazakhstan,1
Albania,Estonia,1
Albania,Saudi Arabia,1
Albania,Malta,1
Albania,Kuwait,1
Algeria,France,6855
Algeria,Spain,1341
Algeria,Turkey,932
Algeria,Saudi Arabia,794
Algeria,Italy,458
Algeria,Morocco,265
Algeria,Germany,247
Algeria,United Kingdom,194
Algeria,Egypt,174
Algeria,United Arab Emirates,174
Algeria,Belgium,167
Algeria,Qatar,124
Algeria,Jordan,105
Algeria,Canada,99
Algeria,Switzerland,97
Algeria,Portugal,81
Algeria,Austria,49
Algeria,China,39
Algeria,Lebanon,35
Algeria,Hungary,33
Algeria,Tunisia,29
Algeria,Netherlands,21
Algeria,Russia,19
Algeria,Syria,10
Algeria,Western Sahara,7
Algeria,Algeria,7
Algeria,Ukraine,6
Algeria,Denmark,4
Algeria,Czech Republic,4
Algeria,Malta,3
Algeria,Luxembourg,3
Algeria,Greece,3
Algeria,Belarus,2
Algeria,Kazakhstan,2
Algeria,Venezuela,2
Algeria,Azerbaijan,2
Algeria,Serbia,2
Algeria,Cape Verde,2
Algeria,Romania,2
Algeria,Mauritania,2
Algeria,Cuba,2
Algeria,Moldova,1
Algeria,Norway,1
Algeria,Bulgaria,1
Algeria,Georgia,1
Algeria,Finland,1
Angola,Portugal,407
Angola,Germany,55
Angola,Netherlands,51
Angola,France,51
Angola,Morocco,46
Angola,United Kingdom,39
Angola,United States,15
Angola,Switzerland,5
Angola,Belgium,3
Angola,Russia,2
Angola,Spain,2
Angola,Italy,1
Angola,Lebanon,1
Anguilla,Luxembourg,1
Anguilla,France,1
Antigua and Barbuda,United Kingdom,174
Antigua and Barbuda,Italy,8
Antigua and Barbuda,Switzerland,4
Antigua and Barbuda,France,2
Antigua and Barbuda,Spain,2
Antigua and Barbuda,Belgium,1
Antigua and Barbuda,Portugal,1
Argentina,Spain,592
Argentina,Italy,208
Argentina,Germany,129
Argentina,United Kingdom,122
Argentina,France,121
Argentina,Netherlands,89
Argentina,Morocco,7
Armenia,Russia,2028
Armenia,Iran,230
Armenia,United Arab Emirates,229
Armenia,Ukraine,193
Armenia,Qatar,122
Armenia,Georgia,106
Armenia,Austria,95
Armenia,Poland,86
Armenia,Turkey,76
Armenia,Lebanon,67
Armenia,France,54
Armenia,Greece,54
Armenia,Kazakhstan,47
Armenia,Egypt,42
Armenia,Iraq,33
Armenia,Belarus,30
Armenia,Israel,24
Armenia,Belgium,11
Armenia,Syria,10
Armenia,Italy,6
Armenia,United Kingdom,3
Armenia,Serbia,3
Armenia,Romania,3
Armenia,Montenegro,3
Armenia,Turkmenistan,3
Armenia,Germany,3
Armenia,Czech Republic,3
Armenia,Bulgaria,3
Armenia,Switzerland,2
Armenia,Cyprus,2
Armenia,Denmark,2
Armenia,Macedonia,1
Armenia,Spain,1
Armenia,Morocco,1
Armenia,Finland,1
Armenia,Tajikistan,1
Armenia,Azerbaijan,1
Aruba,Netherlands,89
Aruba,United Kingdom,15
Aruba,Sweden,5
Austria,Germany,12663
Austria,Austria,4338
Austria,United Kingdom,3170
Austria,Switzerland,2707
Austria,Italy,2555
Austria,France,2254
Austria,Spain,1757
Austria,Netherlands,1601
Austria,Russia,1292
Austria,Turkey,1259
Austria,Greece,1195
Austria,Belgium,1066
Austria,Romania,1010
Austria,Croatia,882
Austria,Ukraine,845
Austria,Poland,825
Austria,Serbia,748
Austria,Bulgaria,739
Austria,Czech Republic,653
Austria,Sweden,607
Austria,Denmark,592
Austria,United States,491
Austria,Israel,467
Austria,Hungary,439
Austria,Egypt,411
Austria,Luxembourg,390
Austria,Norway,326
Austria,Portugal,316
Austria,Slovenia,308
Austria,Iran,288
Austria,Finland,288
Austria,United Arab Emirates,253
Austria,Slovakia,237
Austria,China,233
Austria,Cyprus,231
Austria,Albania,222
Austria,Belarus,217
Austria,Bosnia and Herzegovina,215
Austria,Thailand,214
Austria,Latvia,203
Austria,Macedonia,198
Austria,Moldova,189
Austria,Qatar,184
Austria,Ireland,181
Austria,Montenegro,172
Austria,Malta,154
Austria,Jordan,139
Austria,Estonia,127
Austria,Lithuania,123
Austria,Armenia,96
Austria,Iraq,91
Austria,Hong Kong,77
Austria,Canada,76
Austria,Ethiopia,73
Austria,Tunisia,65
Austria,Taiwan,55
Austria,India,54
Austria,Morocco,54
Austria,South Korea,52
Austria,Georgia,39
Austria,Algeria,33
Austria,Mauritius,21
Austria,Iceland,21
Austria,Kuwait,17
Austria,Maldives,13
Austria,Cuba,13
Austria,Sri Lanka,10
Austria,Kazakhstan,9
Austria,Dominican Republic,6
Austria,Jersey,5
Austria,Guernsey,4
Austria,Saudi Arabia,4
Austria,Lebanon,4
Austria,Seychelles,4
Austria,Azerbaijan,3
Austria,Gibraltar,2
Austria,Afghanistan,2
Austria,Nigeria,2
Austria,Cape Verde,1
Austria,Brazil,1
Austria,Libya,1
Austria,Bahrain,1
Austria,Isle of Man,1
Austria,Niger,1
Austria,Singapore,1
Austria,Malaysia,1
Austria,Central African Republic,1
Austria,Netherlands Antilles,1
Azerbaijan,Azerbaijan,1727
Azerbaijan,Russia,1652
Azerbaijan,Turkey,1314
Azerbaijan,United Arab Emirates,725
Azerbaijan,Kazakhstan,439
Azerbaijan,Georgia,389
Azerbaijan,China,348
Azerbaijan,Iran,333
Azerbaijan,Ukraine,280
Azerbaijan,Iraq,233
Azerbaijan,Qatar,230
Azerbaijan,Germany,222
Azerbaijan,Italy,149
Azerbaijan,Netherlands,143
Azerbaijan,Turkmenistan,126
Azerbaijan,Luxembourg,119
Azerbaijan,United Kingdom,117
Azerbaijan,Afghanistan,113
Azerbaijan,Hong Kong,101
Azerbaijan,United States,95
